time,total_num,population,lowest,average
1,9000,20857,75000,75332
2,9000,24651,83300,83571
3,9000,23589,90800,91898
4,11000,26174,83900,84101
5,9000,22224,80700,80803
6,9000,21482,77600,77823
7,9000,21811,76300,76465
8,9000,22650,74700,74939
9,9000,35154,73400,73492
10,10000,28887,82300,83723
11,8500,38220,75500,75717
12,8500,39625,76000,76093
13,8100,41946,73500,73501
14,7400,45758,73200,73357
15,7400,61853,73800,73872
16,8200,94241,74000,74113
17,7400,114121,74400,74503
18,7400,135677,73800,73896
19,7400,136098,74600,74680
20,7400,121550,73600,73785
21,8300,122219,73800,73875
22,7400,105532,74000,74075
23,7400,95595,73500,73633
24,7447,96972,73600,73687
25,7990,98203,74000,74216
26,7653,103224,76500,76618
27,7406,132690,74600,74830
28,8288,152298,80600,80759
29,7482,156007,79000,79099
30,7441,172205,80000,80020
31,7531,166302,83100,83171
32,7454,166939,82600,82642
33,8727,165765,82100,82172
34,7763,170995,85300,85424
35,7514,169159,84600,84703
36,7698,179133,84500,84572
37,9409,187533,82200,82352
38,8363,196470,83200,83244
39,8310,221109,83100,83148
40,11829,256897,85100,85127
41,11598,277889,85000,85058
42,11546,275438,84400,84483
43,11475,240750,87200,87235
44,11549,251188,86900,86946
45,12889,229544,86500,86523
46,11621,213212,88300,88359
47,11549,215424,88600,88665
48,12261,219882,88300,88412
49,12215,232101,87600,87685
50,10157,251717,88200,88240
51,10356,262010,87800,87916
52,12196,252273,89800,89850
53,10316,270197,90100,90209
54,10312,244349,89400,89532
55,10325,269189,92200,92250